Label,Region
1,R_Hippocampal_Head
2,R_Hippocampal_Body
4,L_Hippocampal_Head
5,L_Hippocampal_Body
6,R_Amygdala
8,L_Amygdala
10,R_Hippocampal_Tail
11,L_Hippocampal_Tail
